DataID,TimeStamp,DeviceID,DeviceData
16059234,2022-10-01 00:17:30.666696,18,14 98 993.3 13.8 0
16062834,2022-10-01 01:17:30.871123,18,13.6 100 993.2 13.6 0
16066434,2022-10-01 02:17:30.672062,18,13.4 100 993.1 13.4 0
16070034,2022-10-01 03:17:30.664589,18,13.4 100 992.9 13.4 0
16073634,2022-10-01 04:17:30.673037,18,13.1 100 992.8 13.1 0
16077234,2022-10-01 05:17:30.681903,18,13.1 100 992.5 13.1 0
16080835,2022-10-01 06:17:30.655028,18,13.1 100 992.2 13.1 0
16084435,2022-10-01 07:17:30.664226,18,13.2 100 991.9 13.2 0
16088035,2022-10-01 08:17:30.874331,18,13.5 100 991.9 13.5 0
16091635,2022-10-01 09:17:30.688794,18,13.5 100 991.6 13.5 0
16095235,2022-10-01 10:17:30.668175,18,14 100 991.3 14 0
16098835,2022-10-01 11:17:30.662805,18,14.2 100 990.7 14.2 0
16102435,2022-10-01 12:17:30.658664,18,14.7 100 990 14.7 0
16106035,2022-10-01 13:17:30.657711,18,14.6 100 989.2 14.6 0
16109635,2022-10-01 14:17:30.235869,18,14.7 100 988.7 14.7 0
16113235,2022-10-01 15:17:30.687511,18,15.1 100 988.1 15.1 0
16116835,2022-10-01 16:17:30.705018,18,15.3 96 987.4 14.7 0
16120435,2022-10-01 17:17:30.687247,18,15.2 99 987.1 15.1 0
16124035,2022-10-01 18:17:30.730045,18,13.8 100 986.3 13.8 0
16127635,2022-10-01 19:17:30.698401,18,13.3 100 985.3 13.3 0
16131235,2022-10-01 20:17:30.694253,18,13.7 100 984.4 13.7 0
16134835,2022-10-01 21:17:30.697358,18,14.1 100 983.2 14.1 0
16138436,2022-10-01 22:17:30.898625,18,14.7 100 982.6 14.7 0
16142035,2022-10-01 23:17:30.705562,18,14.1 100 981.5 14.1 0
16145635,2022-10-02 00:17:30.712493,18,14.1 100 981.3 14.1 0
16149235,2022-10-02 01:17:30.680770,18,14.2 100 981.5 14.2 0
16152836,2022-10-02 02:17:30.752360,18,13.6 92 981.5 12.4 0
16156436,2022-10-02 03:17:30.698023,18,12.5 94 981.7 11.6 0
16160036,2022-10-02 04:17:30.678019,18,11.6 94 981.8 10.7 0
16163636,2022-10-02 05:17:30.699343,18,11.2 93 982 10.2 0
16167236,2022-10-02 06:17:30.677370,18,10.9 92 982.2 9.7 0
16170836,2022-10-02 07:17:30.671797,18,10.3 89 982.5 8.7 0
16174436,2022-10-02 08:17:30.907221,18,10 88 982.5 8.1 0
16178036,2022-10-02 09:17:30.678703,18,9.8 89 982.6 8 0
16181636,2022-10-02 10:17:30.687444,18,10 89 982.8 8.4 0
16185236,2022-10-02 11:17:30.701901,18,11.3 81 982.9 8.3 0
16188836,2022-10-02 12:17:30.687293,18,11.2 84 983 8.7 0
16192436,2022-10-02 13:17:30.704546,18,11 85 983 8.7 0
16196036,2022-10-02 14:17:30.272985,18,11.6 82 983 8.6 0
16199636,2022-10-02 15:17:30.787796,18,11.8 77 982.7 7.9 0
16203236,2022-10-02 16:17:30.785648,18,11.6 78 982 7.9 0
16206836,2022-10-02 17:17:30.799365,18,10.8 90 981.4 9.2 0
16210436,2022-10-02 18:17:30.771109,18,10.9 85 981 8.6 0
16214037,2022-10-02 19:17:30.777873,18,11 85 980.3 8.6 0
16217636,2022-10-02 20:17:30.783445,18,10.9 87 979.7 8.9 0
16221237,2022-10-02 21:17:30.779108,18,9.9 99 978.7 9.8 0
16224837,2022-10-02 22:17:30.822545,18,9.9 100 977.1 9.9 0
16228437,2022-10-02 23:17:30.782892,18,10 100 976.8 9.9 0
16232037,2022-10-03 00:17:30.805543,18,10.4 100 975.4 10.4 0
16235637,2022-10-03 01:17:30.772169,18,11.2 100 974.9 11.2 0
16239237,2022-10-03 02:17:30.805300,18,11.9 100 974 11.9 0
16242837,2022-10-03 03:17:30.782554,18,13.1 100 972.7 13.1 0
16246437,2022-10-03 04:17:30.793006,18,14 100 971.8 14 0
16250037,2022-10-03 05:17:30.765601,18,14.6 100 971.1 14.6 0
16253637,2022-10-03 06:17:30.798240,18,15.2 100 970.6 15.2 0
16257237,2022-10-03 07:17:30.787956,18,15.2 100 969.8 15.2 0
16260837,2022-10-03 08:17:30.980132,18,15.6 100 969.3 15.6 0
16264437,2022-10-03 09:17:30.790439,18,15.7 100 968.5 15.7 0
16268037,2022-10-03 10:17:30.797117,18,15 100 968.4 15 0
16271637,2022-10-03 11:17:30.788507,18,14.6 100 968.5 14.6 0
16275237,2022-10-03 12:17:30.776643,18,13.7 100 969.3 13.7 0
16278837,2022-10-03 13:17:30.775890,18,14.1 98 969.9 13.9 0
16282437,2022-10-03 14:17:30.278343,18,12.5 98 970.7 12.3 0
16286038,2022-10-03 15:17:30.810399,18,12.3 85 971.9 10 0
16289638,2022-10-03 16:17:30.784804,18,10 90 973.8 8.5 0
16293238,2022-10-03 17:17:30.988205,18,9.4 83 974.6 6.8 0
16296838,2022-10-03 18:17:30.792408,18,9.4 82 975.2 6.6 0
16300438,2022-10-03 19:17:30.802725,18,9.3 88 975.8 7.4 0
16304038,2022-10-03 20:17:31.025329,18,8.8 94 976.6 7.9 0
16307637,2022-10-03 21:17:29.859161,18,9 98 976.9 8.7 0
16311237,2022-10-03 22:17:29.830068,18,9.3 95 977.8 8.6 0
16314837,2022-10-03 23:17:29.818244,18,10.1 92 978.3 8.8 0
16318437,2022-10-04 00:17:29.833672,18,10.6 87 978.8 8.7 0
16322037,2022-10-04 01:17:29.822053,18,10.9 87 979.2 8.8 0
16325637,2022-10-04 02:17:29.822410,18,10.7 86 979.5 8.5 0
16329237,2022-10-04 03:17:29.828150,18,10.7 87 980 8.6 0
16332837,2022-10-04 04:17:29.802037,18,10.4 88 980.1 8.6 0
16336438,2022-10-04 05:17:29.837061,18,9.9 91 980.6 8.5 0
16340038,2022-10-04 06:17:29.812310,18,9.6 92 980.8 8.4 0
16343638,2022-10-04 07:17:29.828028,18,9.5 93 981.1 8.4 0
16347238,2022-10-04 08:17:30.032944,18,10.1 90 981.5 8.7 0
16350838,2022-10-04 09:17:29.821742,18,10.7 87 981.9 8.8 0
16354438,2022-10-04 10:17:29.828112,18,11.3 84 982.1 8.8 0
16358038,2022-10-04 11:17:29.834506,18,12.9 73 981.9 8.3 0
